source_url,title,type_slug,group_label,target_filename,category_slug,notes
https://www.idemaclima.it/wp-content/uploads/schede/CT_REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,Conto Termico Mini Chiller IGC R32,conto-termico,Mini Chiller,CT_REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,linea-idronica-refrigeratori-mini-chiller,URL estratto dalla pagina Mini Chiller
https://www.idemaclima.it/wp-content/uploads/schede/IM-UM_REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,Manuale installazione e uso Mini Chiller IGC R32,manuale-installazione,Mini Chiller,IM-UM_REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,linea-idronica-refrigeratori-mini-chiller,PDF verificato e leggibile dal sito storico
https://www.idemaclima.it/wp-content/uploads/schede/REF_COMANDO_REMOTO_KJRH-120K-BMKO-E.pdf,Manuale comando remoto KJRH-120K/BMKO-E,manuale-uso,Accessori Mini Chiller,REF_COMANDO_REMOTO_KJRH-120K-BMKO-E.pdf,linea-idronica-refrigeratori-accessori,PDF verificato e leggibile dal sito storico
https://www.idemaclima.it/wp-content/uploads/schede/I-TANK-75R.pdf,Scheda accessorio acqua tecnica I-TANK-75R,scheda-tecnica,Accessori Mini Chiller,I-TANK-75R.pdf,linea-idronica-refrigeratori-accessori,PDF verificato e leggibile dal sito storico
https://www.idemaclima.it/wp-content/uploads/schede/TAB_IDHR_2024.pdf,Scheda tecnica recuperatori IDHR,scheda-tecnica,Recuperatori,TAB_IDHR_2024.pdf,altri-prodotti,Nessun match esatto filename trovato nel repo Lovable
https://www.idemaclima.it/wp-content/uploads/schede/TM_IDHR.pdf,Manuale installazione e uso IDHR,manuale-installazione,Recuperatori,TM_IDHR.pdf,altri-prodotti,URL estratto dalla pagina Altri Prodotti
https://www.idemaclima.it/wp-content/uploads/schede/UM_IDHR-WIFI.pdf,Manuale Wi-Fi IDHR,manuale-wifi,Recuperatori,UM_IDHR-WIFI.pdf,altri-prodotti,PDF verificato e leggibile dal sito storico
https://www.idemaclima.it/wp-content/uploads/schede/VMC_URC80-EC.pdf,Scheda tecnica URC80-EC,scheda-tecnica,Recuperatori,VMC_URC80-EC.pdf,altri-prodotti,PDF verificato e leggibile dal sito storico
https://www.idemaclima.it/wp-content/uploads/schede/UM_FTXM-740XIT.pdf,Manuale uso purificatore FTXM-740XIT,manuale-uso,Purificatori,UM_FTXM-740XIT.pdf,altri-prodotti,Nessun match esatto filename trovato nel repo Lovable
https://www.idemaclima.it/wp-content/uploads/schede/IM_AC-SA1.pdf,Manuale installazione barriera AC-SA1,manuale-installazione,Barriere a lama d'aria,IM_AC-SA1.pdf,altri-prodotti,PDF verificato e leggibile dal sito storico
https://www.idemaclima.it/wp-content/uploads/SISTEMI-EASY-KIT-ZONE-2022.pdf,Sistemi Easy Kit distribuzione aria,altro,Distribuzione aria,SISTEMI-EASY-KIT-ZONE-2022.pdf,distribuzione-aria,Nessun match esatto filename trovato nel repo Lovable
https://www.idemaclima.it/wp-content/uploads/SISTEMA-RADIO-2022.pdf,Sistema Radio distribuzione aria,altro,Distribuzione aria,SISTEMA-RADIO-2022.pdf,distribuzione-aria,PDF verificato e leggibile dal sito storico
https://www.idemaclima.it/wp-content/uploads/COMPONENTI-DISTRIBUZIONE-ARIA-2022.pdf,Componenti distribuzione aria,altro,Distribuzione aria,COMPONENTI-DISTRIBUZIONE-ARIA-2022.pdf,distribuzione-aria,PDF verificato e leggibile dal sito storico
